aggregation_timestamp,n_requests,operation,snapshot_id,n_context,n_context_tokens_total,n_generated,n_generated_tokens_total
2023-07-18T02:00:00.000Z,2,completion,gpt-3.5-turbo-0613,2,150,2,846
2023-07-18T02:25:00.000Z,5,completion,gpt-3.5-turbo-0613,5,2265,5,1908
2023-07-18T02:30:00.000Z,3,completion,gpt-3.5-turbo-0613,3,116,3,261
2023-07-18T02:35:00.000Z,4,completion,gpt-3.5-turbo-0613,4,230,4,383
2023-07-18T02:40:00.000Z,2,completion,gpt-3.5-turbo-0613,2,20,2,158
2023-07-18T02:45:00.000Z,5,completion,gpt-3.5-turbo-0613,5,50,5,481
2023-07-18T02:50:00.000Z,1,completion,gpt-3.5-turbo-0613,1,10,1,110
2023-07-18T02:55:00.000Z,3,completion,gpt-3.5-turbo-0613,3,30,3,323
2023-07-18T03:05:00.000Z,4,completion,gpt-3.5-turbo-0613,4,124,4,325
2023-07-18T03:10:00.000Z,1,completion,gpt-3.5-turbo-0613,1,184,1,94
2023-07-18T03:15:00.000Z,1,completion,gpt-3.5-turbo-0613,1,12,1,121
2023-07-18T03:20:00.000Z,7,completion,gpt-3.5-turbo-0613,7,958,7,793
2023-07-18T04:05:00.000Z,3,completion,davinci:ft-sj-innovation-2023-07-16-08-32-19,3,202,3,413
2023-07-18T04:05:00.000Z,2,completion,gpt-3.5-turbo-0613,2,1899,2,548
2023-07-18T04:10:00.000Z,1,completion,davinci:ft-sj-innovation-2023-07-16-08-32-19,1,99,1,200
2023-07-18T04:15:00.000Z,1,completion,davinci:ft-sj-innovation-2023-07-16-08-32-19,1,114,1,200
2023-07-18T05:05:00.000Z,2,completion,gpt-3.5-turbo-0613,2,758,2,220
2023-07-18T05:20:00.000Z,1,completion,gpt-3.5-turbo-0613,1,564,1,120
2023-07-18T05:55:00.000Z,2,completion,gpt-3.5-turbo-0613,2,192,2,788
2023-07-18T06:10:00.000Z,3,completion,gpt-3.5-turbo-0613,3,415,3,380
2023-07-18T06:15:00.000Z,1,completion,gpt-3.5-turbo-0613,1,10,1,71
2023-07-18T06:20:00.000Z,1,completion,gpt-3.5-turbo-0613,1,10,1,110
2023-07-18T06:40:00.000Z,4,completion,gpt-3.5-turbo-0613,4,228,4,387
